"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check full ingredients compliance for coffee cards on the page","129","checkFullComplianceCardIngredients","AllTests","Fri Jun 13 16:47:04 GMT 2025","passed","Fri Jun 13 16:47:04 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","2128","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Fri Jun 13 16:47:20 GMT 2025","broken","Fri Jun 13 16:47:23 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"This test verifies that after selecting three drinks, the Lucky Day  pop-up is displayed.","2329","luckyDayPopUpAppearsTest","AllTests","Fri Jun 13 16:45:47 GMT 2025","broken","Fri Jun 13 16:45:49 GMT 2025","com.coffeecart.ui.LuckyDayPopUpAppears","RegularTests","com.coffeecart.ui.LuckyDayPopUpAppears","luckyDayPopUpAppearsTest"
"Check incorrect given ingredients handling","136","checkIncorrectFullComplianceCardIngredients","AllTests","Fri Jun 13 16:47:05 GMT 2025","passed","Fri Jun 13 16:47:05 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Check full ingredients compliance for coffee cards on the page","129","checkFullComplianceCardIngredients","AllTests","Fri Jun 13 16:47:04 GMT 2025","passed","Fri Jun 13 16:47:04 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Check titles of all coffee cards on the menu page","26","checkCorrectCardTitles","AllTests","Fri Jun 13 16:47:03 GMT 2025","passed","Fri Jun 13 16:47:03 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage","1045","verifyPaymentModalClosing","AllTests","Fri Jun 13 16:46:32 GMT 2025","failed","Fri Jun 13 16:46:33 GMT 2025","com.coffeecart.ui.PaymentModalClosingOnMenuPageTest","RegularTests","com.coffeecart.ui.PaymentModalClosingOnMenuPageTest","verifyPaymentModalClosing"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1278","possibilityAddingMocha","AllTests","Fri Jun 13 16:48:03 GMT 2025","broken","Fri Jun 13 16:48:05 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Verify order button restriction with empty cart","11562","TestTotalButtonRestrictionWithEmptyCart","AllTests","Fri Jun 13 16:47:26 GMT 2025","broken","Fri Jun 13 16:47:37 GMT 2025","com.coffeecart.ui.TestTotalButtonRestriction","RegularTests","com.coffeecart.ui.TestTotalButtonRestriction","TestTotalButtonRestrictionWithEmptyCart"
"","0","firstTest","AllTests","Fri Jun 13 16:46:33 GMT 2025","passed","Fri Jun 13 16:46:33 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","firstTest"
