"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3565","possibilityAddingMocha","Surefire suite","Fri May 09 11:41:07 GMT 2025","passed","Fri May 09 11:41:11 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","testRecipeOrder","Surefire suite","Fri May 09 11:42:05 GMT 2025","passed","Fri May 09 11:42:05 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","testRecipeOrder"
"","1511","VerifyEmail4","Surefire suite","Fri May 09 11:42:14 GMT 2025","passed","Fri May 09 11:42:16 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail4"
"Verify successful payment clear the cart","3116","testSuccessfulPaymentClearPrice","Surefire suite","Fri May 09 11:40:50 GMT 2025","passed","Fri May 09 11:40:53 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","120","checkIncorrectFullComplianceCardIngredients","Surefire suite","Fri May 09 11:41:41 GMT 2025","passed","Fri May 09 11:41:41 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Verify successful payment clear the cart","2704","testSuccessfulPaymentClearPrice","Surefire suite","Fri May 09 11:40:44 GMT 2025","passed","Fri May 09 11:40:47 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1","testRecipeIngredientsOrder","Surefire suite","Fri May 09 11:41:59 GMT 2025","failed","Fri May 09 11:41:59 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","testRecipeIngredientsOrder"
"","5553","testChineseNamesOfProducts","Surefire suite","Fri May 09 11:41:53 GMT 2025","passed","Fri May 09 11:41:58 GMT 2025","com.coffeecart.ui.VerifyTranslationToChinese.VerifyTranslationToChineseTest","Surefire test","com.coffeecart.ui.VerifyTranslationToChinese.VerifyTranslationToChineseTest","testChineseNamesOfProducts"
"Verify successful payment clear the cart","2729","testSuccessfulPaymentClearPrice","Surefire suite","Fri May 09 11:40:47 GMT 2025","passed","Fri May 09 11:40:50 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","124","checkIncorrectFullComplianceCardIngredients","Surefire suite","Fri May 09 11:41:41 GMT 2025","passed","Fri May 09 11:41:41 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"","0","testQuantities","Surefire suite","Fri May 09 11:41:51 GMT 2025","failed","Fri May 09 11:41:51 GMT 2025","com.coffeecart.ui.BaseTest","Surefire test","com.coffeecart.ui.BaseTest","testQuantities"
"","1","testQuantities","Surefire suite","Fri May 09 11:42:09 GMT 2025","failed","Fri May 09 11:42:09 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","testQuantities"
"","423","VerifyEmail5","Surefire suite","Fri May 09 11:42:16 GMT 2025","passed","Fri May 09 11:42:16 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail5"
"","16","testQuantities","Surefire suite","Fri May 09 11:40:31 GMT 2025","failed","Fri May 09 11:40:31 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testQuantities"
"","0","firstTest","Surefire suite","Fri May 09 11:41:00 GMT 2025","passed","Fri May 09 11:41:00 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","firstTest"
"","77","checkCorrectCardTitles","Surefire suite","Fri May 09 11:41:37 GMT 2025","passed","Fri May 09 11:41:37 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","220","checkIncorrectCardIngredientsLength","Surefire suite","Fri May 09 11:41:39 GMT 2025","passed","Fri May 09 11:41:40 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredientsLength"
"","131","checkCorrectCardPrices","Surefire suite","Fri May 09 11:41:36 GMT 2025","passed","Fri May 09 11:41:36 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","104","checkIncorrectCardTitles","Surefire suite","Fri May 09 11:41:40 GMT 2025","passed","Fri May 09 11:41:40 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","104","checkIncorrectCardPrices","Surefire suite","Fri May 09 11:41:40 GMT 2025","passed","Fri May 09 11:41:40 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardPrices"
"","1","firstTest","Surefire suite","Fri May 09 11:42:05 GMT 2025","passed","Fri May 09 11:42:05 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","firstTest"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","5245","possibilityAddingMocha","Surefire suite","Fri May 09 11:41:24 GMT 2025","passed","Fri May 09 11:41:29 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","136","checkFullComplianceCardIngredients","Surefire suite","Fri May 09 11:41:38 GMT 2025","passed","Fri May 09 11:41:38 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3723","possibilityAddingMocha","Surefire suite","Fri May 09 11:41:00 GMT 2025","passed","Fri May 09 11:41:04 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","162","checkIncorrectCardIngredients","Surefire suite","Fri May 09 11:41:39 GMT 2025","passed","Fri May 09 11:41:39 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredients"
"Verification of data changes synchronization between the cart page and the pop-up cart","1160","testSynchronizationBetweenCarts","Surefire suite","Fri May 09 11:42:07 GMT 2025","passed","Fri May 09 11:42:08 GMT 2025","com.coffeecart.ui.TestSynchronizationBetweenCarts","Surefire test","com.coffeecart.ui.TestSynchronizationBetweenCarts","testSynchronizationBetweenCarts"
"","114","checkCorrectCardPrices","Surefire suite","Fri May 09 11:41:36 GMT 2025","passed","Fri May 09 11:41:36 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","5469","possibilityAddingMocha","Surefire suite","Fri May 09 11:41:29 GMT 2025","passed","Fri May 09 11:41:35 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Verify successful payment clear the cart","3230","testSuccessfulPaymentClearPrice","Surefire suite","Fri May 09 11:40:35 GMT 2025","passed","Fri May 09 11:40:38 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1489","VerifyEmail2","Surefire suite","Fri May 09 11:41:42 GMT 2025","broken","Fri May 09 11:41:44 GMT 2025","com.coffeecart.ui.TestName","Surefire test","com.coffeecart.ui.TestName","VerifyEmail2"
"","0","testQuantities","Surefire suite","Fri May 09 11:41:59 GMT 2025","failed","Fri May 09 11:41:59 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","testQuantities"
"","130","checkFullComplianceCardIngredients","Surefire suite","Fri May 09 11:41:38 GMT 2025","passed","Fri May 09 11:41:38 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","96","checkIncorrectCardTitles","Surefire suite","Fri May 09 11:41:40 GMT 2025","passed","Fri May 09 11:41:40 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"Verify successful payment clear the cart","2718","testSuccessfulPaymentClearPrice","Surefire suite","Fri May 09 11:40:41 GMT 2025","passed","Fri May 09 11:40:44 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","35","checkCorrectCardTitles","Surefire suite","Fri May 09 11:41:37 GMT 2025","passed","Fri May 09 11:41:37 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","95","checkIncorrectCardTitles","Surefire suite","Fri May 09 11:41:40 GMT 2025","passed","Fri May 09 11:41:40 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","56","checkCorrectCardTitles","Surefire suite","Fri May 09 11:41:37 GMT 2025","passed","Fri May 09 11:41:37 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Verify successful payment clear the cart","3390","testSuccessfulPaymentClearPrice","Surefire suite","Fri May 09 11:40:31 GMT 2025","passed","Fri May 09 11:40:35 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","141","checkFullComplianceCardIngredients","Surefire suite","Fri May 09 11:41:37 GMT 2025","passed","Fri May 09 11:41:37 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","1610","testAddMultipleCupsToCart","Surefire suite","Fri May 09 11:42:05 GMT 2025","passed","Fri May 09 11:42:07 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","testAddMultipleCupsToCart"
"","1","testRecipeIngredientsOrder","Surefire suite","Fri May 09 11:42:09 GMT 2025","failed","Fri May 09 11:42:09 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","testRecipeIngredientsOrder"
