"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4343","addModalOpensAfterPageRefresh","AllTests","Tue Jun 24 11:45:19 GMT 2025","broken","Tue Jun 24 11:45:23 GMT 2025","com.coffeecart.ui.TestNoButtonRightClickModal","RegularTests","com.coffeecart.ui.TestNoButtonRightClickModal","addModalOpensAfterPageRefresh"
"Check full ingredients compliance for coffee cards on the page","111","checkFullComplianceCardIngredients","AllTests","Tue Jun 24 11:46:32 GMT 2025","passed","Tue Jun 24 11:46:32 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3592","possibilityAddingMocha","AllTests","Tue Jun 24 11:47:21 GMT 2025","passed","Tue Jun 24 11:47:25 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","2260","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Tue Jun 24 11:46:44 GMT 2025","passed","Tue Jun 24 11:46:46 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"Check full ingredients compliance for coffee cards on the page","116","checkFullComplianceCardIngredients","AllTests","Tue Jun 24 11:46:31 GMT 2025","passed","Tue Jun 24 11:46:31 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Test verification of pop-up cart functioning (buttons +/-)","554","Verify cart pop-up functionality for any drink from the menu","AllTests","Tue Jun 24 11:45:28 GMT 2025","passed","Tue Jun 24 11:45:28 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1296","possibilityAddingMocha","AllTests","Tue Jun 24 11:47:41 GMT 2025","broken","Tue Jun 24 11:47:43 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Check full ingredients compliance for coffee cards on the page","110","checkFullComplianceCardIngredients","AllTests","Tue Jun 24 11:46:32 GMT 2025","passed","Tue Jun 24 11:46:32 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","3343","verifyValidEmailSubmission","AllTests","Tue Jun 24 11:45:45 GMT 2025","passed","Tue Jun 24 11:45:49 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyValidEmailSubmission"
"Check full ingredients compliance for coffee cards on the page","113","checkFullComplianceCardIngredients","AllTests","Tue Jun 24 11:46:31 GMT 2025","passed","Tue Jun 24 11:46:32 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3688","possibilityAddingMocha","AllTests","Tue Jun 24 11:47:11 GMT 2025","passed","Tue Jun 24 11:47:14 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Test verification of pop-up cart functioning (buttons +/-)","504","Verify cart pop-up functionality for any drink from the menu","AllTests","Tue Jun 24 11:45:28 GMT 2025","passed","Tue Jun 24 11:45:29 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"","3260","“No” button closes the modal and leaves the cart empty","","Tue Jun 24 11:44:19 GMT 2025","passed","Tue Jun 24 11:44:22 GMT 2025","","Add-to-cart modal behaviour","“No” button closes the modal and leaves the cart empty",""
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1260","possibilityAddingMocha","AllTests","Tue Jun 24 11:47:30 GMT 2025","broken","Tue Jun 24 11:47:31 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
