"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Pop-up 'Lucky Day'","9","0","","0"
"0","","0","Verify the correctness of increasing the number of items on the Cart page","1","0","","0"
"0","","0","Coffee cards verification","32","0","","0"
"1","","0","","20","0","","0"
"0","","0","Lucky Day Modal and Cart Modal Functionality","1","0","","0"
"0","","0","Payment Form Validation","1","0","","0"
"1","Cart pop-up Functionality","0","Pop-up Cart Behavior","9","0","Cart pop-up behavior when interacting with any drink from the menu","0"
"0","","1","Is Plus Button Disabled for Discounted Mocha","0","0","","0"
"0","Promotions after choosing 3 drinks","0","Lucky Day pop-up","5","0","User can sees Lucky Day popup after choosing 3 drinks","0"
"0","","0","Cart Validation","10","0","","0"
"0","","2","Discounted Mocha Removal","0","0","","0"
"0","","0","Verify lucky proposition discard","1","0","","0"
"0","","0","Total Button Functionality on Menu and Cart Pages","1","0","","0"
"0","","0","Synchronization of the cart page with the pop-up cart","1","0","","0"
"1","","0","Total Button Validation","0","0","","0"
"0","","0","Test Chinese Translation","1","0","","0"
"0","","0","Error handling","1","0","","0"
"0","","0","Cart list decrease button verification","1","0","","0"
"0","","1","Closing Payment Details Modal","0","0","","0"
"0","","0","Cart Counter Update","1","0","","0"
