"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verification of pop-up cart functioning (buttons +/-)","567","Verify cart pop-up functionality for any drink from the menu","AllTests","Fri Jun 20 09:46:28 GMT 2025","passed","Fri Jun 20 09:46:28 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"","1193","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Fri Jun 20 09:47:46 GMT 2025","broken","Fri Jun 20 09:47:47 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"Test verification of pop-up cart functioning (buttons +/-)","596","Verify cart pop-up functionality for any drink from the menu","AllTests","Fri Jun 20 09:46:29 GMT 2025","passed","Fri Jun 20 09:46:30 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check prices correctness for all coffee cards on the menu page","123","checkCorrectCardPrices","AllTests","Fri Jun 20 09:47:24 GMT 2025","passed","Fri Jun 20 09:47:24 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Check incorrect given ingredients handling","131","checkIncorrectFullComplianceCardIngredients","AllTests","Fri Jun 20 09:47:27 GMT 2025","passed","Fri Jun 20 09:47:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Check incorrect given ingredients handling","113","checkIncorrectFullComplianceCardIngredients","AllTests","Fri Jun 20 09:47:27 GMT 2025","passed","Fri Jun 20 09:47:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"","159","Test ""Total"" button on Menu and Cart pages","","Fri Jun 20 09:48:41 GMT 2025","skipped","Fri Jun 20 09:48:41 GMT 2025","","Verification of the functioning oh the ""Total"" button functionality on ""Menu"" and ""Cart"" pages","Test ""Total"" button on Menu and Cart pages",""
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1292","possibilityAddingMocha","AllTests","Fri Jun 20 09:48:36 GMT 2025","broken","Fri Jun 20 09:48:37 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"  As a user
  I want to verify payment modal behavior when closing
  So that I understand how form data is retained","170","Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage","","Fri Jun 20 09:48:40 GMT 2025","skipped","Fri Jun 20 09:48:40 GMT 2025","","Closing Payment Details Modal","Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage",""
"","143","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Fri Jun 20 09:47:39 GMT 2025","passed","Fri Jun 20 09:47:39 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"","161","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Fri Jun 20 09:47:38 GMT 2025","passed","Fri Jun 20 09:47:39 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"Check full ingredients compliance for coffee cards on the page","121","checkFullComplianceCardIngredients","AllTests","Fri Jun 20 09:47:26 GMT 2025","passed","Fri Jun 20 09:47:26 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verify the correctness of increasing the number of items on the Cart page","390","testIncreaseItemsNumberInCart","AllTests","Fri Jun 20 09:47:28 GMT 2025","passed","Fri Jun 20 09:47:28 GMT 2025","com.coffeecart.ui.IncreaseItemsNumberInCartTest","RegularTests","com.coffeecart.ui.IncreaseItemsNumberInCartTest","testIncreaseItemsNumberInCart"
"    Verify '+' button is disabled for '(Discounted) Mocha' in the Cart Modal ","224","Verify '+' button disability in the Cart Modal for 'Discounted' Mocha","","Fri Jun 20 09:48:40 GMT 2025","skipped","Fri Jun 20 09:48:41 GMT 2025","","'+' button is disabled for 'Discounted' Mocha in the Cart Modal","Verify '+' button disability in the Cart Modal for 'Discounted' Mocha",""
