"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful payment clear the cart","2646","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 08:27:09 GMT 2025","passed","Mon Jun 23 08:27:12 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Verify that double-clicking the drink name translates it into Chinese","6242","testChineseNamesOfProducts","AllTests","Mon Jun 23 08:26:53 GMT 2025","failed","Mon Jun 23 08:26:59 GMT 2025","com.coffeecart.ui.VerifyTranslationToChineseTest","RegularTests","com.coffeecart.ui.VerifyTranslationToChineseTest","testChineseNamesOfProducts"
"Verify successful payment clear the cart","3089","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 08:27:06 GMT 2025","passed","Mon Jun 23 08:27:09 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check prices correctness for all coffee cards on the menu page","123","checkCorrectCardPrices","AllTests","Mon Jun 23 08:27:26 GMT 2025","passed","Mon Jun 23 08:27:26 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verify that the (Discounted) Mocha item in the Cart Page disappears after removing the other coffee cups via the '-' button","3990","verifyDiscountedMochaCardMinusButton","AllTests","Mon Jun 23 08:27:32 GMT 2025","failed","Mon Jun 23 08:27:36 GMT 2025","com.coffeecart.ui.TestDiscountedMochaCartPageMinusButton","RegularTests","com.coffeecart.ui.TestDiscountedMochaCartPageMinusButton","verifyDiscountedMochaCardMinusButton"
"Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage","979","verifyPaymentModalClosing","AllTests","Mon Jun 23 08:26:52 GMT 2025","failed","Mon Jun 23 08:26:52 GMT 2025","com.coffeecart.ui.PaymentModalClosingOnMenuPageTest","RegularTests","com.coffeecart.ui.PaymentModalClosingOnMenuPageTest","verifyPaymentModalClosing"
"Verify successful payment clear the cart","3137","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 08:27:21 GMT 2025","passed","Mon Jun 23 08:27:24 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check full ingredients compliance for coffee cards on the page","131","checkFullComplianceCardIngredients","AllTests","Mon Jun 23 08:27:28 GMT 2025","passed","Mon Jun 23 08:27:28 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verify valid name/email submission shows confirmation message.","801","verifyPaymentSubmissionWithValidData","AllTests","Mon Jun 23 08:26:25 GMT 2025","passed","Mon Jun 23 08:26:26 GMT 2025","com.coffeecart.ui.PaymentSubmissionWithValidDataTest","RegularTests","com.coffeecart.ui.PaymentSubmissionWithValidDataTest","verifyPaymentSubmissionWithValidData"
"    Verify '+' button is disabled for '(Discounted) Mocha' in the Cart Modal ","156","Verify '+' button disability in the Cart Modal for 'Discounted' Mocha","","Mon Jun 23 08:28:43 GMT 2025","skipped","Mon Jun 23 08:28:43 GMT 2025","","'+' button is disabled for 'Discounted' Mocha in the Cart Modal","Verify '+' button disability in the Cart Modal for 'Discounted' Mocha",""
"  As a user
  I want to increase the quantity of an item in my cart
  So that I can easily adjust the number of items I want to purchase","222","Verify increasing item quantity on Cart page","","Mon Jun 23 08:28:41 GMT 2025","skipped","Mon Jun 23 08:28:41 GMT 2025","","Increasing Items Number in Cart","Verify increasing item quantity on Cart page",""
"Check length of all coffee cards on the menu page","12","checkCardsLength","AllTests","Mon Jun 23 08:27:26 GMT 2025","passed","Mon Jun 23 08:27:26 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCardsLength"
"Check titles of all coffee cards on the menu page","26","checkCorrectCardTitles","AllTests","Mon Jun 23 08:27:27 GMT 2025","passed","Mon Jun 23 08:27:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Check incorrect given ingredients handling","119","checkIncorrectFullComplianceCardIngredients","AllTests","Mon Jun 23 08:27:29 GMT 2025","passed","Mon Jun 23 08:27:29 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Check prices correctness for all coffee cards on the menu page","104","checkCorrectCardPrices","AllTests","Mon Jun 23 08:27:27 GMT 2025","passed","Mon Jun 23 08:27:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"  As a user
  I want to verify discounted mocha behavior when removing other items
  So that I understand the special offer rules","215","Verify Discounted Mocha disappears after removing other items","","Mon Jun 23 08:28:42 GMT 2025","skipped","Mon Jun 23 08:28:43 GMT 2025","","Discounted Mocha Removal","Verify Discounted Mocha disappears after removing other items",""
"","175","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Mon Jun 23 08:27:43 GMT 2025","passed","Mon Jun 23 08:27:43 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"Test verification of pop-up cart functioning (buttons +/-)","549","Verify cart pop-up functionality for any drink from the menu","AllTests","Mon Jun 23 08:26:28 GMT 2025","passed","Mon Jun 23 08:26:29 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check full ingredients compliance for coffee cards on the page","137","checkFullComplianceCardIngredients","AllTests","Mon Jun 23 08:27:28 GMT 2025","passed","Mon Jun 23 08:27:28 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Check titles of all coffee cards on the menu page","58","checkCorrectCardTitles","AllTests","Mon Jun 23 08:27:27 GMT 2025","passed","Mon Jun 23 08:27:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
