"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user
  I want to verify discounted mocha behavior when removing other items
  So that I understand the special offer rules","170","Verify Discounted Mocha disappears after removing other items","","Mon Jun 23 12:21:04 GMT 2025","skipped","Mon Jun 23 12:21:04 GMT 2025","","Discounted Mocha Removal","Verify Discounted Mocha disappears after removing other items",""
"  As a user
  I want to verify payment modal behavior when closing
  So that I understand how form data is retained","169","Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage","","Mon Jun 23 12:21:03 GMT 2025","skipped","Mon Jun 23 12:21:03 GMT 2025","","Closing Payment Details Modal","Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage",""
"Verify successful payment clear the cart","2674","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 12:22:34 GMT 2025","passed","Mon Jun 23 12:22:37 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Verify successful payment clear the cart","1215","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 12:22:40 GMT 2025","broken","Mon Jun 23 12:22:41 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"This test verifies that after selecting three drinks, the Lucky Day  pop-up is displayed.","2288","luckyDayPopUpAppearsTest","AllTests","Mon Jun 23 12:21:22 GMT 2025","broken","Mon Jun 23 12:21:25 GMT 2025","com.coffeecart.ui.LuckyDayPopUpAppears","RegularTests","com.coffeecart.ui.LuckyDayPopUpAppears","luckyDayPopUpAppearsTest"
"Verify successful payment clear the cart","3200","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 12:22:15 GMT 2025","passed","Mon Jun 23 12:22:18 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check incorrect given ingredients handling","127","checkIncorrectFullComplianceCardIngredients","AllTests","Mon Jun 23 12:22:44 GMT 2025","passed","Mon Jun 23 12:22:45 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"  As a user
  I want to submit payment form with valid data
  So that I can complete my purchase successfully","163","Verify valid name/email submission shows confirmation message","","Mon Jun 23 12:21:03 GMT 2025","skipped","Mon Jun 23 12:21:03 GMT 2025","","Payment Form Validation","Verify valid name/email submission shows confirmation message",""
"Verify successful payment clear the cart","1197","testSuccessfulPaymentClearPrice","AllTests","Mon Jun 23 12:22:33 GMT 2025","broken","Mon Jun 23 12:22:34 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","0","firstTest","AllTests","Mon Jun 23 12:22:14 GMT 2025","passed","Mon Jun 23 12:22:14 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","firstTest"
"","3338","verifyValidEmailSubmission","AllTests","Mon Jun 23 12:21:59 GMT 2025","passed","Mon Jun 23 12:22:02 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyValidEmailSubmission"
"Check titles of all coffee cards on the menu page","41","checkCorrectCardTitles","AllTests","Mon Jun 23 12:22:42 GMT 2025","passed","Mon Jun 23 12:22:42 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","141","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Mon Jun 23 12:22:56 GMT 2025","passed","Mon Jun 23 12:22:56 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"","1209","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Mon Jun 23 12:22:58 GMT 2025","passed","Mon Jun 23 12:22:59 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"","164","“No” button closes the modal and leaves the cart empty","","Mon Jun 23 12:21:03 GMT 2025","skipped","Mon Jun 23 12:21:03 GMT 2025","","Add-to-cart modal behaviour","“No” button closes the modal and leaves the cart empty",""
"  As a user
  I want to reject the ""Lucky Day"" offer
  So that my cart does not include any unwanted items","174","Verify rejecting the ""extra cup of Mocha"" keeps cart unchanged","","Mon Jun 23 12:21:03 GMT 2025","skipped","Mon Jun 23 12:21:03 GMT 2025","","Lucky Day Offer Rejection","Verify rejecting the ""extra cup of Mocha"" keeps cart unchanged",""
"Check prices correctness for all coffee cards on the menu page","108","checkCorrectCardPrices","AllTests","Mon Jun 23 12:22:42 GMT 2025","passed","Mon Jun 23 12:22:42 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
