"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check prices correctness for all coffee cards on the menu page","107","checkCorrectCardPrices","Surefire suite","Tue May 13 08:25:03 GMT 2025","passed","Tue May 13 08:25:03 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Check incorrect given ingredients length handling","115","checkIncorrectCardIngredientsLength","Surefire suite","Tue May 13 08:25:06 GMT 2025","passed","Tue May 13 08:25:06 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredientsLength"
"Verify successful payment clear the cart","3216","testSuccessfulPaymentClearPrice","Surefire suite","Tue May 13 08:24:16 GMT 2025","passed","Tue May 13 08:24:19 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check prices correctness for all coffee cards on the menu page","109","checkCorrectCardPrices","Surefire suite","Tue May 13 08:25:03 GMT 2025","passed","Tue May 13 08:25:04 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verify the functioning of the ""Total"" button on ""Menu"" and ""Cart"" pages.","891","testTotalButton","Surefire suite","Tue May 13 08:25:25 GMT 2025","passed","Tue May 13 08:25:26 GMT 2025","com.coffeecart.ui.TestTotalButtonOnMainAndCart","Surefire test","com.coffeecart.ui.TestTotalButtonOnMainAndCart","testTotalButton"
"","2444","verifyInvalidEmailValidation","Surefire suite","Tue May 13 08:25:58 GMT 2025","passed","Tue May 13 08:26:01 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"Check full ingredients compliance for coffee cards on the page","148","checkFullComplianceCardIngredients","Surefire suite","Tue May 13 08:25:05 GMT 2025","passed","Tue May 13 08:25:05 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Check prices correctness for all coffee cards on the menu page","107","checkCorrectCardPrices","Surefire suite","Tue May 13 08:25:03 GMT 2025","passed","Tue May 13 08:25:03 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","0","firstTest","Surefire suite","Tue May 13 08:25:24 GMT 2025","passed","Tue May 13 08:25:24 GMT 2025","com.coffeecart.ui.BaseTest","Surefire test","com.coffeecart.ui.BaseTest","firstTest"
"Check titles of all coffee cards on the menu page","50","checkCorrectCardTitles","Surefire suite","Tue May 13 08:25:04 GMT 2025","passed","Tue May 13 08:25:04 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
