"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verification of pop-up cart functioning (buttons +/-)","572","Verify cart pop-up functionality for any drink from the menu","AllTests","Thu Jun 26 11:19:12 GMT 2025","passed","Thu Jun 26 11:19:12 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"","1558","verifyInvalidEmailValidation","AllTests","Thu Jun 26 11:19:14 GMT 2025","passed","Thu Jun 26 11:19:16 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"","332","addModalOpensAfterPageRefresh","AllTests","Thu Jun 26 11:19:01 GMT 2025","passed","Thu Jun 26 11:19:02 GMT 2025","com.coffeecart.ui.TestNoButtonRightClickModal","RegularTests","com.coffeecart.ui.TestNoButtonRightClickModal","addModalOpensAfterPageRefresh"
"Verify order button restriction with empty cart","11464","TestTotalButtonRestrictionWithEmptyCart","AllTests","Thu Jun 26 11:20:39 GMT 2025","broken","Thu Jun 26 11:20:51 GMT 2025","com.coffeecart.ui.TestTotalButtonRestriction","RegularTests","com.coffeecart.ui.TestTotalButtonRestriction","TestTotalButtonRestrictionWithEmptyCart"
"  As a user
  I want to see translated drink names in Chinese after double-clicking on their names","946","Double-click translates drink name to Chinese","","Thu Jun 26 11:18:27 GMT 2025","passed","Thu Jun 26 11:18:28 GMT 2025","","Drink name translation to Chinese on double click","Double-click translates drink name to Chinese",""
"Check full ingredients compliance for coffee cards on the page","114","checkFullComplianceCardIngredients","AllTests","Thu Jun 26 11:20:14 GMT 2025","passed","Thu Jun 26 11:20:14 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Check prices correctness for all coffee cards on the menu page","106","checkCorrectCardPrices","AllTests","Thu Jun 26 11:20:13 GMT 2025","passed","Thu Jun 26 11:20:13 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3651","possibilityAddingMocha","AllTests","Thu Jun 26 11:20:57 GMT 2025","passed","Thu Jun 26 11:21:01 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"  As a user
  I want to see translated drink names in Chinese after double-clicking on their names","963","Double-click translates drink name to Chinese","","Thu Jun 26 11:18:26 GMT 2025","passed","Thu Jun 26 11:18:27 GMT 2025","","Drink name translation to Chinese on double click","Double-click translates drink name to Chinese",""
"Check prices correctness for all coffee cards on the menu page","109","checkCorrectCardPrices","AllTests","Thu Jun 26 11:20:13 GMT 2025","passed","Thu Jun 26 11:20:13 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verify successful payment clear the cart","2692","testSuccessfulPaymentClearPrice","AllTests","Thu Jun 26 11:19:56 GMT 2025","passed","Thu Jun 26 11:19:59 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Verify successful payment clear the cart","3164","testSuccessfulPaymentClearPrice","AllTests","Thu Jun 26 11:19:46 GMT 2025","passed","Thu Jun 26 11:19:50 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Test verification of pop-up cart functioning (buttons +/-)","572","Verify cart pop-up functionality for any drink from the menu","AllTests","Thu Jun 26 11:19:07 GMT 2025","passed","Thu Jun 26 11:19:08 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check titles of all coffee cards on the menu page","28","checkCorrectCardTitles","AllTests","Thu Jun 26 11:20:13 GMT 2025","passed","Thu Jun 26 11:20:13 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Check prices correctness for all coffee cards on the menu page","104","checkCorrectCardPrices","AllTests","Thu Jun 26 11:20:13 GMT 2025","passed","Thu Jun 26 11:20:13 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verification of data changes synchronization between the cart page and the pop-up cart","1146","testSynchronizationBetweenCarts","AllTests","Thu Jun 26 11:20:17 GMT 2025","passed","Thu Jun 26 11:20:18 GMT 2025","com.coffeecart.ui.TestSynchronizationBetweenCarts","RegularTests","com.coffeecart.ui.TestSynchronizationBetweenCarts","testSynchronizationBetweenCarts"
"  As a user
  I want the (Discounted) Mocha to disappear
  When I remove the other cups with the minus button
  So that I understand the Lucky-Day offer rules","4832","(Discounted) Mocha disappears after “–”-removal of the other items","","Thu Jun 26 11:18:01 GMT 2025","broken","Thu Jun 26 11:18:06 GMT 2025","","Discounted Mocha removal via “-” button","(Discounted) Mocha disappears after “–”-removal of the other items",""
