"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart Validation","9","0","","0"
"1","","12","","22","0","","0"
"0","","0","Coffee cards verification","47","0","","0"
"0","","0","Total Button Validation","1","0","","0"
"1","","0","Pop-up 'Lucky Day'","8","0","","0"
"0","","0","Closing Payment Details Modal","1","0","","0"
"0","","0","Total Button Functionality on Menu and Cart Pages","1","0","","0"
"0","","0","Payment Form Validation","1","0","","0"
"0","","0","Cart Counter Update","1","0","","0"
"0","","0","Synchronization of the cart page with the pop-up cart","1","0","","0"
